Year ,Number,Age
1979,169000,28
1980,163000,31
1981,155000,30
1982,160000,29
1983,158000,28
1984,157000,30
1985,156000,30
1986,160000,30
1987,169000,31
1988,180000,32
1989,170000,32
1990,190000,31
1991,195000,32
1992,220000,32
1993,210000,33
1994,200000,34
1995,221000,34
1996,191000,35
1997,190000,35
1998,195000,36
1999,201000,38
2000,190000,38
2001,180000,40
2002,198000,38
2003,193000,39
2004,215000,39
2005,175000,40
2006,183000,40
2007,180000,41
2008,175000,41
2009,182000,41
2010,170000,41
2011,179000,41
2012,180000,42
2013,170000,41
2014,171000,43
2015,185000,43
2016,184000,40
2017,189000,43
